,plus,mcmullen,state,locality,name,type,founding_date,em,ml,ce,de,sz,ld,vs,period,location,lon,lat
8029,2449,12827,UT,Coalville,Coalville Library Assoc. Inc.,Socl,1867,NA,1867,NA,NA,0,NA,0,NA,Coalville UT,-111.3993634,40.9177251
8030,2450,12828,UT,Desaret City,Desaret City Library Assoc. Inc.,Socl,1866,NA,1866,NA,NA,0,NA,0,NA,Desaret City UT,-112.652727,39.286901
8031,4809,6477,UT,Ephraim,Ephraim Braneh of San Pete Agricultural and Horicultural Society,Agri socl,1859,1867,1867,NA,1867,124,1867,124,Antebellum,Ephraim UT,-111.5863052,39.3596841
8032,2451,12829,UT,Fillmore,Fillmore Library Assoc.,Socl,NA,1862,1867,NA,NA,0,NA,0,NA,Fillmore UT,-112.3397377,38.9638553
8033,4810,6479,UT,Gardnersville,Gardnersville Gardeners' Club,Agri socl,1867,NA,1867,NA,1867,344,1867,344,NA,Gardnersville UT,-111.0937311,39.3209801
8034,4811,6480,UT,Gunnison,Gunnison Farmers' Gerdeners' and Foresters Club,Agri socl,1867,NA,1867,NA,1867,344,1867,344,NA,Gunnison UT,-111.8182582,39.1552391
8035,4812,6481,UT,Harrisburg,Harrisburg Horicultural Society,Agri socl,1866,1867,1867,NA,1867,35,1867,35,NA,Harrisburg UT,-113.3943953,37.2058153
8036,2452,12830,UT,Lehi,Lehi Library Assoc.,Socl,1862,NA,1865,NA,NA,0,NA,0,NA,Lehi UT,-111.8507662,40.3916172
8037,2453,12831,UT,Logan,,Socl,NA,1862,1862,NA,NA,0,NA,0,NA,Logan UT,-111.8338359,41.7369803
8038,2454,12832,UT,Manti,,Socl,NA,1862,1867,NA,NA,0,NA,0,NA,Manti UT,-111.6368627,39.2682951
8039,4813,6482,UT,Minersville,Minersville Agricultural Society,Agri socl,1867,NA,1867,NA,1867,71,1867,71,NA,Minersville UT,-112.9235621,38.2141363
8040,2455,12833,UT,Moroni,Moroni City Library,Socl,1866,NA,1866,NA,NA,0,NA,0,NA,Moroni UT,-111.5904725,39.5249615
8041,4814,6483,UT,Moroni,Moroni Farmers' and Gardeners' Club,Agri socl,1864,1867,1867,NA,1867,12,1867,12,NA,Moroni UT,-111.5904725,39.5249615
8042,4815,6484,UT,Mount Pleasant,"San Pete, Branch of Desert, Agricultural Society",Agri socl,1858,NA,1867,NA,1867,260,1867,260,Antebellum,Mount Pleasant UT,-111.4554659,39.5469073
8043,2456,12835,UT,Nephi,Nephi Library and R. R. Inc.,Socl,NA,1862,1864,NA,NA,0,NA,0,NA,Nephi UT,-111.8363216,39.7102336
8044,4357,12834,UT,Nephi,Mt. Nebo Literary Assoc.,Lit socy,1853,NA,1853,NA,NA,0,NA,0,Antebellum,Nephi UT,-111.8363216,39.7102336
8045,2457,12836,UT,Ogden City,"Ogden Lity, Debating, and Library Instn.",Socl,1864,NA,1869,NA,NA,0,NA,0,NA,Ogden City UT,-111.9738304,41.223
8046,2458,12837,UT,Parowan,,Socl,NA,1862,1862,NA,NA,0,NA,0,NA,Parowan UT,-112.8279996,37.8421975
8047,2459,12838,UT,Payson,,Socl,NA,1862,1862,NA,NA,0,NA,0,NA,Payson UT,-111.7321518,40.0443989
8048,2460,12839,UT,Provo,,Socl,NA,1854,1854,NA,1854,120,1854,120,NA,Provo UT,-111.6585337,40.2338438
8049,2461,12840,UT,Provo,,Socl,NA,1862,1862,NA,NA,0,NA,0,NA,Provo UT,-111.6585337,40.2338438
8050,2462,12841,UT,Provo,Provo Library and Reading Room Assoc.,Socl,1867,NA,1872,NA,NA,0,NA,0,NA,Provo UT,-111.6585337,40.2338438
8051,4816,6485,UT,Provo,Prove Gardeners and Mechanics Institute,Agri socl,1863,1867,1867,NA,1867,100,1867,100,NA,Provo UT,-111.6585337,40.2338438
8052,4817,6486,UT,Rockville,Kane? County Horicultural Society,Agri socl,1866,1867,1867,NA,1867,10,1867,10,NA,Rockville UT,-113.0382745,37.1610939
8053,7821,6492,UT,Salt Lake City,State Library,State,1852,NA,1884,NA,1852,3000,1875,8859,Antebellum,Salt Lake City UT,-111.8910474,40.7607793
8054,2465,6488,UT,Salt Lake City,City Library,Socl,1872,NA,1884,NA,1875,900,1875,900,NA,Salt Lake City UT,-111.8910474,40.7607793
8055,2890,12845,UT,Salt Lake City,Ladies Library Assoc.,Ladies,1872,NA,NA,1876,1872,400,1872,400,NA,Salt Lake City UT,-111.8910474,40.7607793
8056,2468,6493,UT,Salt Lake City,Twelfth Ward Library,Socl,NA,1855,1855,NA,NA,0,NA,0,NA,Salt Lake City UT,-111.8910474,40.7607793
8057,3815,12847,UT,Salt Lake City,School Teachers' Assoc.,Socy,NA,1862,1862,NA,NA,0,NA,0,NA,Salt Lake City UT,-111.8910474,40.7607793
8058,6373,6491,UT,Salt Lake City,University of Deseret? (became University of Utah),Coll,1869,NA,1884,NA,1875,2394,1875,2394,NA,Salt Lake City UT,-111.8910474,40.7607793
8059,4122,6490,UT,Salt Lake City,Fireman's Library,Fire,1871,NA,1884,NA,NA,0,NA,0,NA,Salt Lake City UT,-111.8910474,40.7607793
8060,4503,12844,UT,Salt Lake City,Historian's Library,Hist socl,NA,1862,1862,NA,NA,0,NA,0,NA,Salt Lake City UT,-111.8910474,40.7607793
8061,7432,12848,UT,Salt Lake City,Sevent Library,Church,NA,1862,1864,NA,NA,0,NA,0,NA,Salt Lake City UT,-111.8910474,40.7607793
8062,4524,12849,UT,Salt Lake City,Typographical Assoc. Library,Sci eng socy,NA,1862,1862,NA,NA,0,NA,0,NA,Salt Lake City UT,-111.8910474,40.7607793
8063,4822,12843,UT,Salt Lake City,Domestic Gardeners Club,Agri socl,NA,1862,1862,NA,NA,0,NA,0,NA,Salt Lake City UT,-111.8910474,40.7607793
8064,4523,6489,UT,Salt Lake City,Deseret Museum,Sci eng socy,1870,NA,1884,NA,NA,0,NA,0,NA,Salt Lake City UT,-111.8910474,40.7607793
8065,7718,6478,UT,Salt Lake City,Fort Douglas Post Library,Garr,1862,NA,1884,NA,NA,0,NA,0,NA,Salt Lake City UT,-111.8910474,40.7607793
8066,4208,12846,UT,Salt Lake City,Masonic Library,Frat,1873,NA,1873,NA,NA,0,NA,0,NA,Salt Lake City UT,-111.8910474,40.7607793
8067,4818,6494,UT,Spanish Forks,Spanish Forks Gardeners' Club,Agri socl,1864,1867,1867,NA,1867,15,1867,15,NA,Spanish Forks UT,-111.5276909,40.0882897
8068,2466,12850,UT,Springville,,Socl,NA,1862,1862,NA,NA,0,NA,0,NA,Springville UT,-111.6107526,40.1652335
8069,2463,12842,UT,St. George,Saint George Library Assoc. Inc.,Socl,NA,1862,1864,NA,NA,0,NA,0,NA,St. George UT,-113.5684164,37.0965278
8070,2464,6487,UT,St. George,Library Assoc.,Socl,1873,NA,1875,NA,1875,200,1875,200,NA,St. George UT,-113.5684164,37.0965278
8071,4819,6495,UT,St. George,St. George Horicultural and Pomological Society,Agri socl,1865,1867,1867,NA,1867,40,1867,40,NA,St. George UT,-113.5684164,37.0965278
8072,2469,12851,UT,Tooele,Tooele Library Assoc.,Socl,1864,NA,1864,NA,NA,0,NA,0,NA,Tooele UT,-112.29828,40.5307776
8073,4820,6496,UT,Toquersville,Gardners' Assoc.,Agri socl,1865,1867,1867,NA,1867,12,1867,12,NA,Toquersville UT,-113.2846707,37.2533157
8074,4821,6497,UT,Washington,Washington County Gardeners' Club and Library Assoc.,Agri socl,1864,1867,1867,NA,1867,28,1867,28,NA,Washington UT,-113.5082867,37.1305373
8075,7757,31042,VA,,Fort Wool,Garr,NA,NA,NA,NA,NA,0,NA,0,NA, VA,-78.6568942,37.4315734
8076,7761,12857,VA,,Soldier's Library - Volunteer Infantry,Garr,1864,NA,1864,NA,NA,0,NA,0,NA, VA,-78.6568942,37.4315734
8077,7756,6627,VA,,Fort Monroe Post Library,Garr,1865,NA,1884,NA,1875,2000,1875,2000,NA, VA,-78.6568942,37.4315734
8078,5565,6606,VA,Abington,Martha Washington College - Enterpean Society,Coll socy,1870,NA,1884,NA,NA,0,NA,0,NA,Abington VA,-81.9773482,36.7098335
8079,3637,6612,VA,Alexandria,YMCA,YMCA,1853,NA,1857,NA,1857,300,1857,300,Antebellum,Alexandria VA,-77.0469214,38.8048355
8080,1650,6608,VA,Alexandria,Alexandria Library,Socl,1794,NA,1884,NA,1856,4481,1875,4271,Early National,Alexandria VA,-77.0469214,38.8048355
8081,5265,6611,VA,Alexandria,John Lockwood Circulating Library,Comm,NA,1792,1792,NA,NA,0,NA,0,NA,Alexandria VA,-77.0469214,38.8048355
8082,6146,6616,VA,Ashland,Randolph Macon College and Society Library,Coll,1834,NA,1884,NA,1834,2000,1875,10000,Antebellum,Ashland VA,-77.4799837,37.7590318
8083,3795,6613,VA,Aylett's,Mt. Pisgah Alumni Library,Socy,1875,NA,1884,NA,NA,0,NA,0,NA,Aylett's VA,-77.1056529,37.7851462
8084,1651,6614,VA,Berryville,Library Assoc.,Socl,NA,1858,1858,NA,1858,600,1858,600,NA,Berryville VA,-77.9822193,39.1517713
8085,6166,6615,VA,Blacksburg,Virginia Agricultural and Mechanical College,Agri coll,1872,NA,1884,NA,1875,600,1875,600,NA,Blacksburg VA,-80.4139393,37.2295733
8086,5567,6618,VA,Boydtown,Randolph Macon College - Washington Society,Coll socy,NA,1858,1886,NA,1858,200,1858,2000,NA,Boydtown VA,-78.3874978,36.6676413
8087,5566,6617,VA,Boydtown,Randolph Macon College - Franklin Society,Coll socy,NA,1858,NA,1886,1858,2300,1858,2300,NA,Boydtown VA,-78.3874978,36.6676413
8088,7382,42117,VA,Bruton,Parochial Library,Church,NA,NA,NA,NA,NA,0,NA,0,NA,Bruton VA,-76.0045167,36.8778247
8089,3407,6619,VA,Charlotesville,Charlottsville Lyceum,Lyceum,NA,1837,1875,NA,1875,800,1875,800,NA,Charlotesville VA,-78.4766781,38.0293059
8090,1652,95044,VA,Charlottesville,Albemarle Library Society,Socl,NA,1823,1823,NA,NA,0,NA,0,NA,Charlottesville VA,-78.4766781,38.0293059
8091,6147,6620,VA,Charlottesville,University of Virginia,Coll,1825,NA,1884,NA,1834,8000,1875,40000,Early National,Charlottesville VA,-78.4766781,38.0293059
8092,6163,6621,VA,Charlottesville?,University of Virginia Medical School,Med coll,1825,NA,1870,NA,NA,0,1870,35000,Early National,Charlottesville? VA,-78.4766781,38.0293059
8093,5264,95274,VA,Christiansburg,Christiansburg Circulating Library,Comm,NA,NA,NA,NA,NA,0,NA,0,NA,Christiansburg VA,-80.4089389,37.1298517
8094,4653,6605,VA,Dimveddie?,Union Agricultural Society of Virginia and South Carolina,Agri socl,1854,1859,1859,NA,1859,150,1859,150,Antebellum,Dimveddie? VA,-78.6568942,37.4315734
8095,6148,6622,VA,emory,Emory and Henry College Library,Coll,1839,NA,1884,NA,1845,2800,1875,4580,Antebellum,emory VA,-81.834939,36.773811
8096,5568,6623,VA,Emory,Emory and Henry College - Calliopean Society,Coll socy,1838,NA,1884,NA,1850,2717,1872,1000,Antebellum,Emory VA,-81.834939,36.773811
8097,5569,6624,VA,emory,Emory and Henry College - Hermesian Society,Coll socy,1838,NA,1884,NA,1849,8000,1857,2693,Antebellum,emory VA,-81.834939,36.773811
8098,6157,6625,VA,Fairfax,New Hampton Theological Seminary,Theo coll,1825,NA,1870,NA,1849,4955,1870,3000,Early National,Fairfax VA,-77.3063733,38.8462236
8099,6158,6609,VA,Fairfax,Episcopal Theological Seminary of Virginia,Theo coll,1823,NA,1884,NA,1834,2000,1875,10000,Early National,Fairfax VA,-77.3063733,38.8462236
8100,5570,6610,VA,Fairfax County,Episcopal Theological Seminary - Rhetorical Society,Coll socy,NA,1850,1850,NA,1850,200,1850,200,NA,Fairfax County VA,-77.2405153,38.9085472
8101,6167,6626,VA,Fort Monroe,Artillary School U.S. Army,Mil acad,1824,NA,1884,NA,1875,2500,1875,2500,Early National,Fort Monroe VA,-76.2985941,37.0171968
8102,3638,6631,VA,Frederickburg,YMCA,YMCA,1856,NA,1859,NA,1858,550,1859,550,Antebellum,Frederickburg VA,-77.4605399,38.3031837
8103,5266,6630,VA,Fredricksburg,William Fairfax Gray's Circulating Library,Comm,1822,NA,1822,NA,NA,0,NA,0,Early National,Fredricksburg VA,-77.4605399,38.3031837
8104,5267,6629,VA,Fredricksburg,Peter B. Cottom and John Stewart Circulating Library,Comm,NA,1813,NA,1813,NA,0,NA,0,NA,Fredricksburg VA,-77.4605399,38.3031837
8105,1653,31043,VA,Front Royal,Front Royal Librarian Society,Socl,NA,1799,1799,NA,NA,0,NA,0,NA,Front Royal VA,-78.1944446,38.9181671
8106,7087,31044,VA,Gate City,Scott County Court Library,Law,NA,1860,1860,NA,1870,350,1870,350,NA,Gate City VA,-82.5809876,36.6378774
8107,7383,42118,VA,Germanna,Parochial Library,Church,1735,NA,1735,NA,NA,0,NA,0,Colonial,Germanna VA,-77.7569965,38.362764
8108,6159,6635,VA,Hampden Sidney,Union Theological Seminary,Theo coll,1825,NA,1884,NA,1830,2000,1875,10000,Early National,Hampden Sidney VA,-78.4597173,37.2423746
8109,6149,6632,VA,Hampden Sydney,Hampden Sydney College,Coll,1783,NA,1884,NA,1849,8000,1875,2000,Early National,Hampden Sydney VA,-78.4597173,37.2423746
8110,5571,6633,VA,Hampden Sydney,Hampden Sydney College - Philanthropic Society,Coll socy,1807,NA,1884,NA,1855,2765,1875,2500,Early National,Hampden Sydney VA,-78.4597173,37.2423746
8111,5572,6634,VA,Hampden Sydney,Hampden Sydney College - Union Society,Coll socy,1789,NA,1884,NA,1857,3500,1857,3500,Early National,Hampden Sydney VA,-78.4597173,37.2423746
8112,5573,6636,VA,Hampden Sydney,Union Theological Seminary - Society of Inquiry,Coll socy,NA,1850,1850,NA,1850,200,1850,200,NA,Hampden Sydney VA,-78.4597173,37.2423746
8113,6156,6637,VA,Hampton,Chesapeake Female College,Coll,NA,1858,1858,NA,1858,3000,1858,3000,NA,Hampton VA,-76.3452218,37.0298687
8114,7001,6638,VA,Hampton,National Military Home Southern Branch,Asylum,1871,NA,1884,NA,1875,1171,1875,1171,NA,Hampton VA,-76.3452218,37.0298687
8115,1654,6639,VA,Harrisonburg,Rockingham Library Assoc.,Socl,1867,NA,1900,NA,1875,375,1875,375,NA,Harrisonburg VA,-78.8689155,38.4495688
8116,1655,31045,VA,Harrisonburg,Rockingham Library Co.,Socl,1806,NA,1818,NA,NA,0,NA,0,Early National,Harrisonburg VA,-78.8689155,38.4495688
8117,1656,31046,VA,Hillsborough (now Hillsboro),Hillsborough Library Co.,Socl,1815,NA,1825,NA,NA,0,NA,0,Early National,Hillsborough (now Hillsboro) VA,-77.7227706,39.1981588
8118,6150,31047,VA,Hollins,Valley Union Seminary,Coll,1846,NA,1989,NA,NA,0,NA,0,Antebellum,Hollins VA,-79.9430952,37.3412463
8119,4470,31048,VA,Jeffersonville (now Tazemell),Jeffersonville Historical Society,Hist socl,NA,NA,NA,NA,NA,0,NA,0,NA,Jeffersonville (now Tazemell) VA,-85.7371847,38.2775702
8120,7384,42119,VA,Kikotan,Parochial Library,Church,1704,NA,1704,NA,NA,0,NA,0,Colonial,Kikotan VA,-78.6568942,37.4315734
8121,7385,42113,VA,King George's Co.,Parochial Library,Church,1762,NA,1762,NA,NA,0,NA,0,Colonial,King George's Co. VA,-77.1485163,38.2372863
8122,7386,42120,VA,Leeds,Parochial Library,Church,1764,NA,1764,NA,NA,0,NA,0,Colonial,Leeds VA,-76.7649392,37.2945425
8123,1657,12858,VA,Lewisburg,Lewisburg Circ. Library,Socl,1822,NA,1823,NA,NA,0,NA,0,Early National,Lewisburg VA,-80.4456303,37.8017879
8124,1659,6642,VA,Lexington,Lexington Library Company,Socl,NA,1858,1858,NA,NA,0,NA,0,NA,Lexington VA,-79.4428157,37.7840208
8125,1658,6641,VA,Lexington,Franklin Society,Socl,1813,NA,1884,NA,1875,5000,1875,5000,Early National,Lexington VA,-79.4428157,37.7840208
8126,5576,6647,VA,Lexington,Washington College - Graham Philanthropic Society,Coll socy,1809,NA,1875,NA,1850,1800,1875,2500,Early National,Lexington VA,-79.4428157,37.7840208
8127,6168,6643,VA,Lexington,Virginia Military Institute,Mil acad,1841,NA,1884,NA,1849,2500,1875,5000,Antebellum,Lexington VA,-79.4428157,37.7840208
8128,6151,6646,VA,Lexington,Washington College Library,Coll,1776,NA,1884,NA,1845,2700,1875,11000,Early National,Lexington VA,-79.4428157,37.7840208
8129,5575,6645,VA,Lexington,Virginia Military Institute - Virginia Dialectic Society,Coll socy,1848,NA,1854,NA,1854,272,1854,272,Antebellum,Lexington VA,-79.4428157,37.7840208
8130,5577,6648,VA,Lexington,Washington Colelge - Washington Literary society,Coll socy,1812,NA,1875,NA,1850,1800,1875,2500,Early National,Lexington VA,-79.4428157,37.7840208
8131,5574,6644,VA,Lexington,Virginia Military Institute - Society of Cadets,Coll socy,1840,NA,1855,NA,1855,600,1855,600,Antebellum,Lexington VA,-79.4428157,37.7840208
8132,5268,31049,VA,Lynchburg,Owen Family Circulating Library,Comm,NA,NA,NA,NA,NA,0,NA,0,NA,Lynchburg VA,-79.1422464,37.4137536
8133,7758,12859,VA,Lynchburg,Soldier's Library,Garr,NA,1864,1864,NA,NA,0,NA,0,NA,Lynchburg VA,-79.1422464,37.4137536
8134,1660,6649,VA,Madison,Madison Library Assoc.,Socl,1842,NA,1850,NA,1850,353,1850,353,Antebellum,Madison VA,-78.2575035,38.3804062
8135,7388,31050,VA,Madison,Presbyterian Church,Church,NA,1850,1850,NA,1850,250,1850,250,NA,Madison VA,-78.2575035,38.3804062
8136,7387,42121,VA,Manicantown,Parochial Library,Church,NA,NA,NA,NA,NA,0,NA,0,NA,Manicantown VA,-77.7398665,37.5438287
8137,4341,6651,VA,New Market,Lee Literary Society,Lit socy,1870,NA,1884,NA,1875,850,1875,850,NA,New Market VA,-78.6714064,38.647896
8138,1661,6652,VA,Norfolk,Norfolk Library Assoc.,Socl,1870,NA,1884,NA,1875,3400,1875,3400,NA,Norfolk VA,-76.2858726,36.8507689
8139,4167,6653,VA,Norfolk,Odd Fellows' Library,Frat,1871,NA,1875,NA,1875,1500,1875,1500,NA,Norfolk VA,-76.2858726,36.8507689
8140,2721,12863,VA,Norfolk,Norfolk Law Library,Law socl,NA,1863,1863,NA,NA,0,NA,0,NA,Norfolk VA,-76.2858726,36.8507689
8141,3869,95082,VA,Norfolk,Norfolk Athenaeum,Athen,NA,1828,1828,NA,NA,0,NA,0,NA,Norfolk VA,-76.2858726,36.8507689
8142,5269,12862,VA,Norfolk,Norfolk Circulating Library,Comm,NA,1795,1796,NA,NA,0,NA,0,NA,Norfolk VA,-76.2858726,36.8507689
8143,7085,95285,VA,Norfolk,Norfolk Law Library,Law,NA,1863,1863,NA,NA,0,NA,0,NA,Norfolk VA,-76.2858726,36.8507689
8144,7086,31041,VA,Norfolk,Norfolk Law Library,Law,NA,1870,1870,NA,NA,0,NA,0,NA,Norfolk VA,-76.2858726,36.8507689
8145,7390,42116,VA,Orange Co.,Parochial Library,Church,1757,NA,1757,NA,NA,0,NA,0,Colonial,Orange Co. VA,-77.973865,38.2426674
8146,7391,42114,VA,Orange County,Parochial Library,Church,1762,NA,1762,NA,NA,0,NA,0,Colonial,Orange County VA,-77.973865,38.2426674
8147,7389,42115,VA,Orange County,Parochial Library,Church,1756,NA,1756,NA,NA,0,NA,0,Colonial,Orange County VA,-77.973865,38.2426674
8148,7898,31051,VA,Palmyra,Court Library,Co law,NA,1870,1870,NA,1870,100,1870,100,NA,Palmyra VA,-78.2633426,37.8609872
8149,3053,6655,VA,Petersburg,Petersburg Benevolent Mechanic Assoc.,Mech,1825,NA,1884,NA,NA,0,NA,0,Early National,Petersburg VA,-77.4019267,37.2279279
8150,1662,6654,VA,Petersburg,Library Of Petersburg,Socl,1853,NA,1875,NA,1857,4700,1875,3519,Antebellum,Petersburg VA,-77.4019267,37.2279279
8151,3639,6656,VA,Petersburg,YMCA,YMCA,1875,NA,1884,NA,NA,0,NA,0,NA,Petersburg VA,-77.4019267,37.2279279
8152,3318,12860,VA,Petersburg,Athenaeum,Athen,1840,NA,NA,1841,NA,0,NA,0,Antebellum,Petersburg VA,-77.4019267,37.2279279
8153,3794,12861,VA,Petersburg,Speculative Society of the Town of Petersburg,Socy,1795,NA,NA,1830,NA,0,NA,0,Early National,Petersburg VA,-77.4019267,37.2279279
8154,3640,6659,VA,Portsmouth,YMCA,YMCA,1856,NA,1858,NA,1858,320,1858,320,Antebellum,Portsmouth VA,-76.2982742,36.8354258
8155,1663,6657,VA,Portsmouth,Library Assoc.,Socl,NA,1858,1858,NA,NA,0,NA,0,NA,Portsmouth VA,-76.2982742,36.8354258
8156,3793,31052,VA,Portsmouth,Adelphian Society,Socy,NA,1860,1860,NA,1860,476,1860,476,NA,Portsmouth VA,-76.2982742,36.8354258
8157,6152,6658,VA,Portsmouth,Virginia Male and Female College Institute,Coll,1851,NA,1858,NA,1858,1750,1858,1750,Antebellum,Portsmouth VA,-76.2982742,36.8354258
8158,8017,6671,VA,Richmond,Teachers Library,Public,1870,NA,1875,NA,1875,400,1875,400,NA,Richmond VA,-77.4360481,37.5407246
8159,2719,12864,VA,Richmond,Christian Library Assoc.,Rel socl,1812,NA,1812,NA,NA,0,NA,0,Early National,Richmond VA,-77.4360481,37.5407246
8160,2720,6669,VA,Richmond,St. Mary's Sodality,Rel socl,1872,NA,1875,NA,1875,920,1875,920,NA,Richmond VA,-77.4360481,37.5407246
8161,3641,6675,VA,Richmond,YMCA,YMCA,1854,NA,1884,NA,1857,2170,1875,3600,Antebellum,Richmond VA,-77.4360481,37.5407246
8162,3253,95079,VA,Richmond,Mercantile Library Association,Merc,NA,1839,1839,NA,NA,0,NA,0,NA,Richmond VA,-77.4360481,37.5407246
8163,2918,12866,VA,Richmond,Juvenile Library Co.,Juv socl,NA,1823,1823,NA,NA,0,NA,0,NA,Richmond VA,-77.4360481,37.5407246
8164,1664,12868,VA,Richmond,Richmond Library,Socl,NA,1801,1827,NA,NA,0,NA,0,NA,Richmond VA,-77.4360481,37.5407246
8165,1665,6668,VA,Richmond,Richmond Library Assoc.,Socl,NA,1841,1858,NA,1850,1600,1850,1600,NA,Richmond VA,-77.4360481,37.5407246
8166,3408,6661,VA,Richmond,McGill Lyceum,Lyceum,1875,NA,1875,NA,1875,300,1875,300,NA,Richmond VA,-77.4360481,37.5407246
8167,4168,6662,VA,Richmond,Masonic Library,Frat,1777,NA,1884,NA,NA,0,NA,0,Early National,Richmond VA,-77.4360481,37.5407246
8168,6160,6667,VA,Richmond,Richmond Institute,Theo coll,1868,NA,1884,NA,NA,0,NA,0,NA,Richmond VA,-77.4360481,37.5407246
8169,6780,6674,VA,Richmond,Virginia Penitentiary,Prison,1868,NA,1875,NA,1875,300,1875,300,NA,Richmond VA,-77.4360481,37.5407246
8170,6161,6672,VA,Richmond,Virginia Baptist Seminary,Theo coll,1832,NA,1858,NA,1845,1000,1858,1000,Antebellum,Richmond VA,-77.4360481,37.5407246
8171,6153,6664,VA,Richmond,Richmond College,Coll,1846,NA,1884,NA,1850,1200,1875,3000,Antebellum,Richmond VA,-77.4360481,37.5407246
8172,6164,6663,VA,Richmond,Medical College of Virginia,Med coll,1851,NA,1875,NA,1870,600,1875,1000,Antebellum,Richmond VA,-77.4360481,37.5407246
