,plus,mcmullen,state,locality,name,type,founding_date,em,ml,ce,de,sz,ld,vs,period
8139,4167,6653,VA,Norfolk,Odd Fellows' Library,Frat,1871,NA,1875,NA,1875,1500,1875,1500,NA
8140,2721,12863,VA,Norfolk,Norfolk Law Library,Law socl,NA,1863,1863,NA,NA,0,NA,0,NA
8141,3869,95082,VA,Norfolk,Norfolk Athenaeum,Athen,NA,1828,1828,NA,NA,0,NA,0,NA
8142,5269,12862,VA,Norfolk,Norfolk Circulating Library,Comm,NA,1795,1796,NA,NA,0,NA,0,NA
8143,7085,95285,VA,Norfolk,Norfolk Law Library,Law,NA,1863,1863,NA,NA,0,NA,0,NA
8144,7086,31041,VA,Norfolk,Norfolk Law Library,Law,NA,1870,1870,NA,NA,0,NA,0,NA
8145,7390,42116,VA,Orange Co.,Parochial Library,Church,1757,NA,1757,NA,NA,0,NA,0,Colonial
8146,7391,42114,VA,Orange County,Parochial Library,Church,1762,NA,1762,NA,NA,0,NA,0,Colonial
8147,7389,42115,VA,Orange County,Parochial Library,Church,1756,NA,1756,NA,NA,0,NA,0,Colonial
8148,7898,31051,VA,Palmyra,Court Library,Co law,NA,1870,1870,NA,1870,100,1870,100,NA
8149,3053,6655,VA,Petersburg,Petersburg Benevolent Mechanic Assoc.,Mech,1825,NA,1884,NA,NA,0,NA,0,Early National
8150,1662,6654,VA,Petersburg,Library Of Petersburg,Socl,1853,NA,1875,NA,1857,4700,1875,3519,Antebellum
8151,3639,6656,VA,Petersburg,YMCA,YMCA,1875,NA,1884,NA,NA,0,NA,0,NA
8152,3318,12860,VA,Petersburg,Athenaeum,Athen,1840,NA,NA,1841,NA,0,NA,0,Antebellum
8153,3794,12861,VA,Petersburg,Speculative Society of the Town of Petersburg,Socy,1795,NA,NA,1830,NA,0,NA,0,Early National
8154,3640,6659,VA,Portsmouth,YMCA,YMCA,1856,NA,1858,NA,1858,320,1858,320,Antebellum
8155,1663,6657,VA,Portsmouth,Library Assoc.,Socl,NA,1858,1858,NA,NA,0,NA,0,NA
8156,3793,31052,VA,Portsmouth,Adelphian Society,Socy,NA,1860,1860,NA,1860,476,1860,476,NA
8157,6152,6658,VA,Portsmouth,Virginia Male and Female College Institute,Coll,1851,NA,1858,NA,1858,1750,1858,1750,Antebellum
8158,8017,6671,VA,Richmond,Teachers Library,Public,1870,NA,1875,NA,1875,400,1875,400,NA
8159,2719,12864,VA,Richmond,Christian Library Assoc.,Rel socl,1812,NA,1812,NA,NA,0,NA,0,Early National
8160,2720,6669,VA,Richmond,St. Mary's Sodality,Rel socl,1872,NA,1875,NA,1875,920,1875,920,NA
8161,3641,6675,VA,Richmond,YMCA,YMCA,1854,NA,1884,NA,1857,2170,1875,3600,Antebellum
8162,3253,95079,VA,Richmond,Mercantile Library Association,Merc,NA,1839,1839,NA,NA,0,NA,0,NA
8163,2918,12866,VA,Richmond,Juvenile Library Co.,Juv socl,NA,1823,1823,NA,NA,0,NA,0,NA
8164,1664,12868,VA,Richmond,Richmond Library,Socl,NA,1801,1827,NA,NA,0,NA,0,NA
8165,1665,6668,VA,Richmond,Richmond Library Assoc.,Socl,NA,1841,1858,NA,1850,1600,1850,1600,NA
8166,3408,6661,VA,Richmond,McGill Lyceum,Lyceum,1875,NA,1875,NA,1875,300,1875,300,NA
8167,4168,6662,VA,Richmond,Masonic Library,Frat,1777,NA,1884,NA,NA,0,NA,0,Early National
8168,6160,6667,VA,Richmond,Richmond Institute,Theo coll,1868,NA,1884,NA,NA,0,NA,0,NA
8169,6780,6674,VA,Richmond,Virginia Penitentiary,Prison,1868,NA,1875,NA,1875,300,1875,300,NA
8170,6161,6672,VA,Richmond,Virginia Baptist Seminary,Theo coll,1832,NA,1858,NA,1845,1000,1858,1000,Antebellum
8171,6153,6664,VA,Richmond,Richmond College,Coll,1846,NA,1884,NA,1850,1200,1875,3000,Antebellum
8172,6164,6663,VA,Richmond,Medical College of Virginia,Med coll,1851,NA,1875,NA,1870,600,1875,1000,Antebellum
8173,7783,6670,VA,Richmond,Virginia State Library,State,1823,NA,1884,NA,1828,1313,1875,35000,Early National
8174,3919,6660,VA,Richmond,McGill-Catholic Union,Rel socy,1873,NA,1884,NA,NA,0,NA,0,NA
8175,5579,6666,VA,Richmond,Richmond College - Society Libraries,Coll socy,NA,1875,1875,NA,1875,1500,1875,1500,NA
8176,7130,95281,VA,Richmond,Mercantile Reading Room,Read room,NA,1872,1872,NA,NA,0,NA,0,NA
8177,4471,6673,VA,Richmond,Virginia Historical and Philosophical society,Hist socl,1831,NA,1884,NA,1850,1200,1875,8000,Antebellum
8178,5271,12867,VA,Richmond,Peter Cottom's Circulating Library,Comm,1815,NA,1815,NA,NA,0,NA,0,Early National
8179,5270,12865,VA,Richmond,J.H. Nash Circulating Library,Comm,NA,1828,1828,NA,NA,0,NA,0,NA
8180,5578,6665,VA,Richmond,Richmond College - Mu Sigma Rho Society,Coll socy,NA,1850,1875,NA,1850,60,1875,1500,NA
8181,4342,6708,VA,Romney,The Literary Society of Romney,Lit socy,1819,NA,1884,NA,1850,1050,1875,1500,Early National
8182,6154,6676,VA,Salem,Roanoke College,Coll,1853,NA,1884,NA,1857,2500,1875,14000,Antebellum
