Name,Organization,Year Elected,Status,Residency
Antoine A.F. Cadet de Vaux,American Philosophical Society,1787,Member,International
Thomas White,American Philosophical Society,1787,Member,International
Jonathan Williams,American Philosophical Society,1787,Member,Resident
Caspar Wistar,American Philosophical Society,1787,Member,Resident
Simeon De Witt,American Philosophical Society,1787,Member,Resident
Burgiss Allison,American Philosophical Society,1789,Member,Resident
Charles Arthaud,American Philosophical Society,1789,Member,International
Benjamin Smith Barton,American Philosophical Society,1789,Member,Resident
Samuel Beach,American Philosophical Society,1789,Member,International
Sir Charles Blagden,American Philosophical Society,1789,Member,International
John Bleakley,American Philosophical Society,1789,Member,Resident
David Brearly,American Philosophical Society,1789,Member,Resident
Jean P. Brissot,American Philosophical Society,1789,Member,International
George Buchanan,American Philosophical Society,1789,Member,Resident
Pieter Camper,American Philosophical Society,1789,Member,International
Nicholas Collin,American Philosophical Society,1789,Member,Resident
John Cox,American Philosophical Society,1789,Member,Resident
Michel G. St. J. de Crevecoeur,American Philosophical Society,1789,Member,International
Princess Catherine Ekaterina Dashkova,American Philosophical Society,1789,Member,International
William Findley,American Philosophical Society,1789,Member,Resident
Jos. M. de Flores,American Philosophical Society,1789,Member,International
Diego de Gardoqui,American Philosophical Society,1789,Member,International
Francis de Gardoqui,American Philosophical Society,1789,Member,International
Peter Le Gaux,American Philosophical Society,1789,Member,Resident
Ashbel Green,American Philosophical Society,1789,Member,Resident
Friedrich A. von Heintz,American Philosophical Society,1789,Member,International
Joshua Humphreys,American Philosophical Society,1789,Member,Resident
Walter Minto,American Philosophical Society,1789,Member,Resident
George Monroe,American Philosophical Society,1789,Member,Resident
Mekeric L.E. Moreau,American Philosophical Society,1789,Member,International
William Paterson,American Philosophical Society,1789,Member,Resident
C.C. Pinckney,American Philosophical Society,1789,Member,Resident
Thomas Pole,American Philosophical Society,1789,Member,International
David Redick,American Philosophical Society,1789,Member,Resident
Benjamin Rittenhouse,American Philosophical Society,1789,Member,Resident
James Rumsey,American Philosophical Society,1789,Member,Resident
Winthrop Sargent,American Philosophical Society,1789,Member,Resident
Franz A. Steinsky,American Philosophical Society,1789,Member,International
John Stevens,American Philosophical Society,1789,Member,Resident
Charles Stuart,American Philosophical Society,1789,Member,International
James Wilkinson,American Philosophical Society,1789,Member,Resident
John Witherspoon,American Philosophical Society,1789,Member,Resident
Baron J.W.K.A. Hupsch von Lontxen,American Philosophical Society,1790,Member,International
Anders Sparman,American Philosophical Society,1790,Member,International
George Turner,American Philosophical Society,1790,Member,Resident
John Walker,American Philosophical Society,1790,Member,International
Caleb Whitefoord,American Philosophical Society,1790,Member,International
Alexander Addison,American Philosophical Society,1791,Member,Resident
Alexander Anderson,American Philosophical Society,1791,Member,Resident
Absalom Baird,American Philosophical Society,1791,Member,Resident
John Beckley,American Philosophical Society,1791,Member,Resident
Nicholas L. Burmann,American Philosophical Society,1791,Member,International
Alexander J. Dallas,American Philosophical Society,1791,Member,Resident
William Ferguson,American Philosophical Society,1791,Member,Resident
Albert Gallatin,American Philosophical Society,1791,Member,Resident
Benjamin Gloxin,American Philosophical Society,1791,Member,International
Robert Goldsbourough,American Philosophical Society,1791,Member,Resident
John G. Grosche,American Philosophical Society,1791,Member,International
John Hoge,American Philosophical Society,1791,Member,Resident
James Anderson,American Philosophical Society,1791,Member,International
Henry Knox,American Philosophical Society,1791,Member,Resident
John Luzac,American Philosophical Society,1791,Member,International
S.L. Mitchell,American Philosophical Society,1791,Member,Resident
Johann A. Murray,American Philosophical Society,1791,Member,Resident
John Nicholson,American Philosophical Society,1791,Member,Resident
Peter S. Pallas,American Philosophical Society,1791,Member,International
John Penington,American Philosophical Society,1791,Member,Resident
Thomas Pennant,American Philosophical Society,1791,Member,International
Peter S. Du Ponceau,American Philosophical Society,1791,Member,Resident
Edmund Randolph,American Philosophical Society,1791,Member,Resident
Andrew Ross,American Philosophical Society,1791,Member,Resident
James Ross,American Philosophical Society,1791,Member,Resident
John Smilie,American Philosophical Society,1791,Member,Resident
Dugald Stewart,American Philosophical Society,1791,Member,International
Karl P. Thunberg,American Philosophical Society,1791,Member,International
Benjamin Waterhouse,American Philosophical Society,1791,Member,Resident
Richard P. Barton,American Philosophical Society,1792,Member,Resident
Guiseppe Ceracchi,American Philosophical Society,1792,Member,International
William Currie,American Philosophical Society,1792,Member,Resident
Erasmus Darwin,American Philosophical Society,1792,Member,International
Comte de Antoine R.C.M. La Forest,American Philosophical Society,1792,Member,International
Anthony Fothergill,American Philosophical Society,1792,Member,International
David Jackson,American Philosophical Society,1792,Member,Resident
John Page,American Philosophical Society,1792,Member,Resident
Baron de Ambroise M.F.J. Palisot,American Philosophical Society,1792,Member,International
Conte Paolo Andreani,American Philosophical Society,1792,Member,International
John Rouelle,American Philosophical Society,1792,Member,Resident
William Smith,American Philosophical Society,1792,Member,Resident
Uvo van Troil,American Philosophical Society,1792,Member,Resident
John Trumbull,American Philosophical Society,1792,Member,Resident
Rodolph Valltravers,American Philosophical Society,1792,Member,Resident
Nicholas B. Waters,American Philosophical Society,1792,Member,Resident
Andre F. de Coupigny,American Philosophical Society,1793,Member,International
J. Reinhold Forster,American Philosophical Society,1793,Member,International
George Logan,American Philosophical Society,1793,Member,Resident
John W. Lottera,American Philosophical Society,1793,Member,Resident
David Nassy,American Philosophical Society,1793,Member,Resident
Thomas L. Shippen,American Philosophical Society,1793,Member,Resident
Louis Valentin,American Philosophical Society,1793,Member,International
William Waring,American Philosophical Society,1793,Member,Resident
David S. Erskine,American Philosophical Society,1794,Member,International
James Greenway,American Philosophical Society,1794,Member,Resident
James Anderson,American Philosophical Society,1794,Member,International
John Nancarrow,American Philosophical Society,1794,Member,Resident
Gustaf von Carleson,American Philosophical Society,1795,Member,International
Archibald Cochrane,American Philosophical Society,1795,Member,International
Robert Leslie,American Philosophical Society,1795,Member,Resident
Val Melscheimer,American Philosophical Society,1795,Member,Resident
Tim Pickering,American Philosophical Society,1795,Member,Resident
Samuel Wheeler,American Philosophical Society,1795,Member,Resident
Rev. James Abercrombie,American Philosophical Society,1796,Member,Resident
Pierre A. Adet,American Philosophical Society,1796,Member,International
Nathaniel B. Bedford,American Philosophical Society,1796,Member,Resident
Isaac Briggs,American Philosophical Society,1796,Member,Resident
Charles Caldwell,American Philosophical Society,1796,Member,Resident
Dr. Isaac Cathrall,American Philosophical Society,1796,Member,Resident
F.H. Le Comte,American Philosophical Society,1796,Member,International
Tench Coxe,American Philosophical Society,1796,Member,Resident
Joanne B. Cunat,American Philosophical Society,1796,Member,International
Jean Deveze,American Philosophical Society,1796,Member,International
Louis E. Duhail,American Philosophical Society,1796,Member,International
Cypriano R. Friere,American Philosophical Society,1796,Member,International
Jacques M. le F. de Grandpre,American Philosophical Society,1796,Member,Resident
Hugh Hodge,American Philosophical Society,1796,Member,Resident
Jose de Jaudences,American Philosophical Society,1796,Member,International
J.F. Mifflin,American Philosophical Society,1796,Member,Resident
William D. Peck,American Philosophical Society,1796,Member,Resident
Francois A.F. de la Rochefoucauld-Liancourt,American Philosophical Society,1796,Member,International
Sir James E. Smith,American Philosophical Society,1796,Member,International
Charles M. de Talleyrand-Perigord,American Philosophical Society,1796,Member,International
Luis de Urbina,American Philosophical Society,1796,Member,International
James Woodhouse,American Philosophical Society,1796,Member,Resident
William Bache,American Philosophical Society,1797,Member,Resident
Samuel Blair,American Philosophical Society,1797,Member,Resident
John Guillemard,American Philosophical Society,1797,Member,International
William Hamilton,American Philosophical Society,1797,Member,Resident
John Heckewilder,American Philosophical Society,1797,Member,Resident
Andrews Everardus Van Braam Houckgeest,American Philosophical Society,1797,Member,Resident
Thomas C. James,American Philosophical Society,1797,Member,Resident
Alexander Martin,American Philosophical Society,1797,Member,Resident
Theo. C. Mozard,American Philosophical Society,1797,Member,International
John Newnan,American Philosophical Society,1797,Member,Resident
Thomas Pinckney,American Philosophical Society,1797,Member,Resident
Adam Seybert,American Philosophical Society,1797,Member,Resident
Rich P. Smith,American Philosophical Society,1797,Member,Resident
Samuel H. Smith,American Philosophical Society,1797,Member,Resident
John Stuart,American Philosophical Society,1797,Member,Resident
Comte Constantin F. Chasseboeuf de Volney,American Philosophical Society,1797,Member,International
Johann F. Blumenbach,American Philosophical Society,1798,Member,International
Julian U. Niemcewicz,American Philosophical Society,1798,Member,International
William Patterson,American Philosophical Society,1798,Member,International
Giambattista Scandella,American Philosophical Society,1798,Member,International
Franz A. von Zach,American Philosophical Society,1798,Member,International
William Boys,American Philosophical Society,1799,Member,Resident
Joseph Clay,American Philosophical Society,1799,Member,Resident
John R. Coxe,American Philosophical Society,1799,Member,Resident
Samuel Elam,American Philosophical Society,1799,Member,Resident
Benjamin H. Latrobe,American Philosophical Society,1799,Member,Resident
William Maclure,American Philosophical Society,1799,Member,Resident
Thomas P. Smith,American Philosophical Society,1799,Member,Resident
Justus E. Bollmann,American Philosophical Society,1800,Member,Resident
Samuel Brown,American Philosophical Society,1800,Member,Resident
William Dunbar,American Philosophical Society,1800,Member,Resident
Sir Robert Liston,American Philosophical Society,1800,Member,International
Samuel Miller,American Philosophical Society,1800,Member,Resident
Pierre S. du Pont de Nemours,American Philosophical Society,1800,Member,International
John R. Smith,American Philosophical Society,1800,Member,Resident
Francis Blanchet,American Philosophical Society,1801,Member,International
Samuel Falberg,American Philosophical Society,1801,Member,International
Jose J. de Ferrer,American Philosophical Society,1801,Member,International
Thomas T. Hewson,American Philosophical Society,1801,Member,Resident
William Jones,American Philosophical Society,1801,Member,International
Robert R. Livingston,American Philosophical Society,1801,Member,Resident
Gustav Paykull,American Philosophical Society,1801,Member,International
Fran Peyrolon,American Philosophical Society,1801,Member,International
Alexander Ramirez,American Philosophical Society,1801,Member,International
William Barnwell,American Philosophical Society,1802,Member,Resident
John Church,American Philosophical Society,1802,Member,Resident
Thomas Cooper,American Philosophical Society,1802,Member,Resident
Valentin de Foronda,American Philosophical Society,1802,Member,Resident
John Garnett,American Philosophical Society,1802,Member,Resident
Marquis de C.M. Martinez Casa Irujo,American Philosophical Society,1802,Member,International
William S. Jacobs,American Philosophical Society,1802,Member,Resident
Philippe R. Roume de St. Laurent,American Philosophical Society,1802,Member,International
Phillippe J. Letsom,American Philosophical Society,1802,Member,International
James Mease,American Philosophical Society,1802,Member,Resident
Peter B. Olsen,American Philosophical Society,1802,Member,International
Philip S. Physick,American Philosophical Society,1802,Member,Resident
Jarvis Roebuck,American Philosophical Society,1802,Member,International
William Roxburgh,American Philosophical Society,1802,Member,International
Benjamin Dearborn,American Philosophical Society,1803,Member,Resident
Jean B.J. Delambre,American Philosophical Society,1803,Member,International
Robert Gilmore,American Philosophical Society,1803,Member,Resident
Robert Hare,American Philosophical Society,1803,Member,Resident
Meriwether Lewis,American Philosophical Society,1803,Member,Resident
Dan Melanderhjelm,American Philosophical Society,1803,Member,International
Francis Nichols,American Philosophical Society,1803,Member,International
Eric Prosperin,American Philosophical Society,1803,Member,International
David Ramsay,American Philosophical Society,1803,Member,Resident
Benjamin Thompson,American Philosophical Society,1803,Member,International
Pedro Caevallos,American Philosophical Society,1804,Member,International
Antonio J. Cavanilles,American Philosophical Society,1804,Member,International
Zaccheus Collins,American Philosophical Society,1804,Member,Resident
Joshua Gilpin,American Philosophical Society,1804,Member,Resident
Prince Manuel Godoy,American Philosophical Society,1804,Member,International
Baron von F.H. Alexander Humboldt,American Philosophical Society,1804,Member,International
David Humphreys,American Philosophical Society,1804,Member,Resident
Edward Jenner,American Philosophical Society,1804,Member,International
