Name,Organization,Year Elected
John Farrar,American Academy of Arts and Sciences,1808
Silvain Godon,American Academy of Arts and Sciences,1808
John Clarke Howard,American Academy of Arts and Sciences,1808
James Jackson,American Academy of Arts and Sciences,1808
John Snelling Popkin,American Academy of Arts and Sciences,1808
Constantine Samuel Rafinesque-Schmaltz,American Academy of Arts and Sciences,1808
John Collins Warren,American Academy of Arts and Sciences,1808
Sidney Willard,American Academy of Arts and Sciences,1808
Joseph Stevens Buckminster,American Academy of Arts and Sciences,1809
William Ellery Channing,American Academy of Arts and Sciences,1809
Parker Cleaveland,American Academy of Arts and Sciences,1809
William Cranch,American Academy of Arts and Sciences,1809
Cornelis De Gijselaar,American Academy of Arts and Sciences,1809
John Pierce,American Academy of Arts and Sciences,1809
Charles Stearns,American Academy of Arts and Sciences,1809
Thomas Boylston Adams,American Academy of Arts and Sciences,1810
Jesse Appleton,American Academy of Arts and Sciences,1810
Loammi Baldwin Jr.,American Academy of Arts and Sciences,1810
Oliver Fiske,American Academy of Arts and Sciences,1810
John Gorham,American Academy of Arts and Sciences,1810
James Mann,American Academy of Arts and Sciences,1810
John Phillips,American Academy of Arts and Sciences,1810
John Pickering,American Academy of Arts and Sciences,1810
Eliphalet Porter,American Academy of Arts and Sciences,1810
George Cheyne Shattuck,American Academy of Arts and Sciences,1810
William Smith Shaw,American Academy of Arts and Sciences,1810
Joseph Story,American Academy of Arts and Sciences,1810
John Langdon Sullivan,American Academy of Arts and Sciences,1810
Richard Sullivan,American Academy of Arts and Sciences,1810
Redford Webster,American Academy of Arts and Sciences,1810
Josiah Bartlett,American Academy of Arts and Sciences,1811
Elisha Clap,American Academy of Arts and Sciences,1811
James Dean,American Academy of Arts and Sciences,1811
James Lloyd,American Academy of Arts and Sciences,1811
Reuben Dimond Mussey,American Academy of Arts and Sciences,1811
Isaac Parker,American Academy of Arts and Sciences,1811
Samuel Cooper Thacher,American Academy of Arts and Sciences,1811
Ebenezer Adams,American Academy of Arts and Sciences,1812
Jacob Bigelow,American Academy of Arts and Sciences,1812
Archibald Bruce,American Academy of Arts and Sciences,1812
Henry Channing,American Academy of Arts and Sciences,1812
Daniel Chipman,American Academy of Arts and Sciences,1812
Charles Etter,American Academy of Arts and Sciences,1812
