Name,Organization,Year Elected
M. M. Duvignan,Academy of Natural Sciences,1820
Alfred Dupont,Academy of Natural Sciences,1821
Julius F. Ducatel,Academy of Natural Sciences,1812
Chev. A. M. Vassali Eandi,Academy of Natural Sciences,1822
 Amos Eaton,Academy of Natural Sciences,1829
H. Hulbert Eaton,Academy of Natural Sciences,1831
John Milton Earle,Academy of Natural Sciences,1833
M. H. Milne Edwards,Academy of Natural Sciences,1832
William Cox Ellis,Academy of Natural Sciences,1823
Andrew Ellicott,Academy of Natural Sciences,1812
Stephen Elliott,Academy of Natural Sciences,1815
M. Henri Esher,Academy of Natural Sciences,1813
M. Favjas de St. Fond,Academy of Natural Sciences,1812
Sylvanus Faucker,Academy of Natural Sciences,1815
Hugh Falconer,Academy of Natural Sciences,1836
Z. Ferris,Academy of Natural Sciences,1815
George William Featherstonhaugh,Academy of Natural Sciences,1830
M. le Baron Daudebard de Fcrussac,Academy of Natural Sciences,1818
Leopold Fitzinger,Academy of Natural Sciences,1832
Thomas Forster,Academy of Natural Sciences,1815
Samuel Fowler,Academy of Natural Sciences,1823
John P. Foote,Academy of Natural Sciences,1824
Henry Frick,Academy of Natural Sciences,1831
John W. Francis,Academy of Natural Sciences,1816
M. Augustin Frutos,Academy of Natural Sciences,1819
Don Manuel de la Garca,Academy of Natural Sciences,1817
John Galbraith,Academy of Natural Sciences,1831
Ernest Frederick Germar,Academy of Natural Sciences,1828
E. Geddings,Academy of Natural Sciences,1832
Henry Gibbons,Academy of Natural Sciences,1834
Robert Gilmore,Academy of Natural Sciences,1819
George Gibbs,Academy of Natural Sciences,1815
Francis W. Gilmer,Academy of Natural Sciences,1815
John Gorham,Academy of Natural Sciences,1816
August Goldfuss,Academy of Natural Sciences,1832
John Griscom,Academy of Natural Sciences,1814
Thomas Griffith,Academy of Natural Sciences,1815
Edward Griffith,Academy of Natural Sciences,1828
R. H. Greville,Academy of Natural Sciences,1823
M. Grateloup,Academy of Natural Sciences,1836
Asa Gray,Academy of Natural Sciences,1836
John Edward Gray,Academy of Natural Sciences,1829
Benjamin D. Green,Academy of Natural Sciences,1831
John Guillemard,Academy of Natural Sciences,1817
John Gummere,Academy of Natural Sciences,1816
M. Haiiy,Academy of Natural Sciences,1812
John S. Haines,Academy of Natural Sciences,1814
Horace H. Hayden,Academy of Natural Sciences,1815
I. H. Hassenfratz,Academy of Natural Sciences,1819
George Hazelwood,Academy of Natural Sciences,1821
T. W. Harris,Academy of Natural Sciences,1826
James Hadley,Academy of Natural Sciences,1828
Josiah Harlan,Academy of Natural Sciences,1831
Edward C. Herrick,Academy of Natural Sciences,1836
S. P. Hildreth,Academy of Natural Sciences,1832
Edward Hitchcock,Academy of Natural Sciences,1832
M. E. Geoffroy St. Hilaire,Academy of Natural Sciences,1818
Ezekiel Holmes,Academy of Natural Sciences,1826
Charles Joseph Van Hoorebeke,Academy of Natural Sciences,1821
David Hosack,Academy of Natural Sciences,1815
John Edward Holbrook,Academy of Natural Sciences,1832
Robert Hooper,Academy of Natural Sciences,1834
William Jackson Hooker,Academy of Natural Sciences,1821
Thomas Horsfield,Academy of Natural Sciences,1826
David Hunt,Academy of Natural Sciences,1815
William Cobb Hurry,Academy of Natural Sciences,1832
Ansel W. Ives,Academy of Natural Sciences,1817
Joseph Jansen,Academy of Natural Sciences,1816
William Jackson,Academy of Natural Sciences,1814
Charles T. Jackson,Academy of Natural Sciences,1833
Robert Jameson,Academy of Natural Sciences,1822
William James,Academy of Natural Sciences,1814
Edwin James,Academy of Natural Sciences,1823
John C. Jay,Academy of Natural Sciences,1835
John Carmichael Jenkins,Academy of Natural Sciences,1836
Thomas Jefferson,Academy of Natural Sciences,1818
William Jones,Academy of Natural Sciences,1817
M. A. L. de Jussieu,Academy of Natural Sciences,1818
Alexander A. T. C. Keech,Academy of Natural Sciences,1816
M. Pierre-Andre Latreille,Academy of Natural Sciences,1817
M. Laugier,Academy of Natural Sciences,1818
William Lawrence,Academy of Natural Sciences,1818
B. G. E. de la Ville,Academy of Natural Sciences,1812
Count Lakanal,Academy of Natural Sciences,1816
Chev. de Lamarck,Academy of Natural Sciences,1818
M. J. L. Laporte,Academy of Natural Sciences,1832
Justus Le Beau,Academy of Natural Sciences,1833
M. R. P. Lesson,Academy of Natural Sciences,1832
Karl Caesar von Leonard,Academy of Natural Sciences,1824
James Leighton,Academy of Natural Sciences,1824
William Elford Leach,Academy of Natural Sciences,1821
M. Lefroy,Academy of Natural Sciences,1817
Joel Lewis,Academy of Natural Sciences,1815
Henry Lee,Academy of Natural Sciences,1816
M. Leman,Academy of Natural Sciences,1817
Louis L'Herminier,Academy of Natural Sciences,1817
Algernon Sidney Logan,Academy of Natural Sciences,1815
Stephen H. Long,Academy of Natural Sciences,1817
Joseph Lovell,Academy of Natural Sciences,1823
Guillaume Lobe,Academy of Natural Sciences,1836
M. J. A. H. Lucas,Academy of Natural Sciences,1817
Wm. J. Macnevin,Academy of Natural Sciences,1814
Julien Magnanos,Academy of Natural Sciences,1812
M. Mangouri,Academy of Natural Sciences,1812
Patrick Macaulay,Academy of Natural Sciences,1816
C. F. P. Von Martius,Academy of Natural Sciences,1832
M. Ch. Martins,Academy of Natural Sciences,1833
Ephraim McDowell,Academy of Natural Sciences,1813
James McFadyen,Academy of Natural Sciences,1835
James MacCulloch,Academy of Natural Sciences,1829
William McGillivray,Academy of Natural Sciences,1831
William Sharp Mac Leay,Academy of Natural Sciences,1836
 Fred. Val. Melsheimer,Academy of Natural Sciences,1813
M. Johan Menger,Academy of Natural Sciences,1822
M. Mercier,Academy of Natural Sciences,1812
Herman de Meyer,Academy of Natural Sciences,1832
M. Champvert Montral,Academy of Natural Sciences,1812
T. Milbert,Academy of Natural Sciences,1821
M. A. F. Miot,Academy of Natural Sciences,1825
Samuel L. Mitchill,Academy of Natural Sciences,1812
Elisha Mitchell,Academy of Natural Sciences,1832
M. F. J. Michaux,Academy of Natural Sciences,1818
M. S. G. V. de Moleon,Academy of Natural Sciences,1833
Valentine Mott,Academy of Natural Sciences,1814
Thomas W. Montgomery,Academy of Natural Sciences,1814
Alexander Montgomery,Academy of Natural Sciences,1814
M. Noel de la Morinier,Academy of Natural Sciences,1819
James W. Murray,Academy of Natural Sciences,1814
Henry Muhlenberg,Academy of Natural Sciences,1812
M. Charles Mylius,Academy of Natural Sciences,1822
William Oakes,Academy of Natural Sciences,1830
Aug. J. Oemler,Academy of Natural Sciences,1812
Michael J. O'Kelly,Academy of Natural Sciences,1816
Denison Olmsted,Academy of Natural Sciences,1828
M. Dessalines d'Orbigny,Academy of Natural Sciences,1834
Richard Owen,Academy of Natural Sciences,1834
John Palmer,Academy of Natural Sciences,1817
M. M. Parent,Academy of Natural Sciences,1820
Samuel Parkes,Academy of Natural Sciences,1821
Joseph Barclay Pentland,Academy of Natural Sciences,1821
Jacob Perkins,Academy of Natural Sciences,1813
Robert Peter,Academy of Natural Sciences,1835
Henry Piddington,Academy of Natural Sciences,1835
Zina Pitcher,Academy of Natural Sciences,1830
W. Pierpont,Academy of Natural Sciences,1812
M. Pinel,Academy of Natural Sciences,1815
Joseph Xavier Poli,Academy of Natural Sciences,1820
Joel R. Poinsett,Academy of Natural Sciences,1829
T. D. Porter,Academy of Natural Sciences,1822
M. Alexandre Poutrel,Academy of Natural Sciences,1812
M. Constant Prevost,Academy of Natural Sciences,1823
James Prinsep,Academy of Natural Sciences,1836
J. B. Quimby,Academy of Natural Sciences,1836
L'Abbate Camillo Ranzani,Academy of Natural Sciences,1827
John Randall,Academy of Natural Sciences,1816
Edmund Ravenel,Academy of Natural Sciences,1832
Henry S. Rennolds,Academy of Natural Sciences,1835
Matthew Rhea,Academy of Natural Sciences,1832
C. G. C. Reinwardt,Academy of Natural Sciences,1821
John L. Riddell,Academy of Natural Sciences,1836
William Riley,Academy of Natural Sciences,1833
M. Alexandre Ricord,Academy of Natural Sciences,1823
M. Philippe Ricord,Academy of Natural Sciences,1823
Mariano de Rivero,Academy of Natural Sciences,1821
M. J. A. Risso,Academy of Natural Sciences,1818
Robert H. Rose,Academy of Natural Sciences,1833
William B. Rodgers,Academy of Natural Sciences,1834
W. S. W. Ruschenberger,Academy of Natural Sciences,1832
Julius Rucco,Academy of Natural Sciences,1820
Edward Ruppel,Academy of Natural Sciences,1830
William Roxburgh,Academy of Natural Sciences,1812
Paolo Savi,Academy of Natural Sciences,1827
Don Ramon de la Sagra,Academy of Natural Sciences,1832
Lewis Saynisch,Academy of Natural Sciences,1836
M. Charles Von Schreibers,Academy of Natural Sciences,1818
Henry R. Schoolcraft,Academy of Natural Sciences,1820
Lewis David Von Schweinitz,Academy of Natural Sciences,1822
Andrew Scott,Academy of Natural Sciences,1815
M. Marcel de Serres,Academy of Natural Sciences,1832
James Sealy,Academy of Natural Sciences,1820
John Shannon,Academy of Natural Sciences,1831
Charles U. Sheppard,Academy of Natural Sciences,1828
Charles W. Short,Academy of Natural Sciences,1831
Howard Sims,Academy of Natural Sciences,1817
Benjamin Silliman,Academy of Natural Sciences,1817
William Southern,Academy of Natural Sciences,1812
Alexander H. Stevens,Academy of Natural Sciences,1819
Gaspard Comte de Sternberg,Academy of Natural Sciences,1821
Henry Steinhaur,Academy of Natural Sciences,1817
M. Henri Von Struve,Academy of Natural Sciences,1822
John Styles,Academy of Natural Sciences,1834
Charles Tail,Academy of Natural Sciences,1832
Richard C. Taylor,Academy of Natural Sciences,1833
Conrad Jacob Temminck,Academy of Natural Sciences,1824
E. Thomas,Academy of Natural Sciences,1816
William Thornton,Academy of Natural Sciences,1812
Joseph Tilden,Academy of Natural Sciences,1812
Allen Thompson,Academy of Natural Sciences,1834
John Torrey,Academy of Natural Sciences,1822
Joseph G. Totten,Academy of Natural Sciences,1830
B. Troost,Academy of Natural Sciences,1814
John Travers,Academy of Natural Sciences,1815
John S. Trescott,Academy of Natural Sciences,1818
Thomas Stewart Traill,Academy of Natural Sciences,1835
James Trimble,Academy of Natural Sciences,1836
Trinius,Academy of Natural Sciences,1836
John Turner,Academy of Natural Sciences,1814
Andrew Ure,Academy of Natural Sciences,1829
M. Vauquelin,Academy of Natural Sciences,1818
Don Jose Maria Vargas,Academy of Natural Sciences,1835
Stephen Van Rensselaer,Academy of Natural Sciences,1833
Jer. Van Rensselaer,Academy of Natural Sciences,1829
Philippe Louis Voltz,Academy of Natural Sciences,1833
Malthus A. Ward,Academy of Natural Sciences,1832
Samuel R. Wetherill,Academy of Natural Sciences,1814
C. R. G. Weidemann,Academy of Natural Sciences,1823
John W. Webster,Academy of Natural Sciences,1814
Joseph Wheelwright,Academy of Natural Sciences,1814
Charles J. Wister,Academy of Natural Sciences,1814
Adam Winthrop,Academy of Natural Sciences,1835
Maximilian,Academy of Natural Sciences,1834
Joseph Worth,Academy of Natural Sciences,1823
J. Wright,Academy of Natural Sciences,1829
Thomas J. Wray,Academy of Natural Sciences,1818
William Yarrell,Academy of Natural Sciences,1829
Chr. Zimmerman,Academy of Natural Sciences,1836
William Zollikoffer,Academy of Natural Sciences,1834
Thomas Bacon,American Philosophical Society,1768
Lynford Lardner,American Philosophical Society,1768
Arthur Lee,American Philosophical Society,1768
Francis L. Lee,American Philosophical Society,1768
Samuel Bowen,American Philosophical Society,1769
Richard Brooke,American Philosophical Society,1769
Landon Carter,American Philosophical Society,1769
Daniel Clark,American Philosophical Society,1769
Myles Cooper,American Philosophical Society,1769
John Jones,American Philosophical Society,1769
Carolus Linnaeus,American Philosophical Society,1769
John Lorimer,American Philosophical Society,1769
John M. Otto,American Philosophical Society,1769
Ebenezer Prime,American Philosophical Society,1769
Samuel Shoemaker,American Philosophical Society,1769
Earl William Alexander,American Philosophical Society,1770
Joel Bailey,American Philosophical Society,1770
Joseph Ellicott,American Philosophical Society,1770
James Ferguson,American Philosophical Society,1770
John Fothergill,American Philosophical Society,1770
Joseph Gilpin,American Philosophical Society,1770
George Guald,American Philosophical Society,1770
John David Hahn,American Philosophical Society,1770
John Morell,American Philosophical Society,1770
Edward Nairne,American Philosophical Society,1770
John Baynton,American Philosophical Society,1771
Henry Benbridge,American Philosophical Society,1771
Samuel Filsted,American Philosophical Society,1771
Archibald Gloucester,American Philosophical Society,1771
Henry Hill,American Philosophical Society,1771
James Lloyd,American Philosophical Society,1771
Frederick W. von Marschall,American Philosophical Society,1771
Nevil Maskelyne,American Philosophical Society,1771
Charles A. McCall,American Philosophical Society,1771
Samuel Preston Moore,American Philosophical Society,1771
Charles Morton,American Philosophical Society,1771
Joseph Otolenge,American Philosophical Society,1771
William Parr,American Philosophical Society,1771
Thomas Preston,American Philosophical Society,1771
Samuel Rhoads,American Philosophical Society,1771
Richard Thomas,American Philosophical Society,1771
Stephen Adye,American Philosophical Society,1772
Gerard Bancker,American Philosophical Society,1772
Daniel Coxe,American Philosophical Society,1772
Peter Dolland,American Philosophical Society,1772
Thomas Hutchins,American Philosophical Society,1772
Timothy Lane,American Philosophical Society,1772
Henry Laurens,American Philosophical Society,1772
Jesse Lukens,American Philosophical Society,1772
Arch McClean,American Philosophical Society,1772
George Milligan,American Philosophical Society,1772
John Montresor,American Philosophical Society,1772
Samuel Williams,American Philosophical Society,1772
Tobern Bergmann,American Philosophical Society,1773
Thomas Coombe,American Philosophical Society,1773
Baron von Timotheus M. Klingstadt,American Philosophical Society,1773
William Ludlam,American Philosophical Society,1773
Andrew Oliver,American Philosophical Society,1773
Jean B. Le Roy,American Philosophical Society,1773
Alexander Small,American Philosophical Society,1773
James Tilton,American Philosophical Society,1773
Nicholas Way,American Philosophical Society,1773
James Bringhurst,American Philosophical Society,1774
William Bryant,American Philosophical Society,1774
Sharp Delany,American Philosophical Society,1774
Andrew Duncan,American Philosophical Society,1774
Bryan Edwards,American Philosophical Society,1774
John Ellis,American Philosophical Society,1774
Jonathan Elmer,American Philosophical Society,1774
George Gauld,American Philosophical Society,1774
John Jones,American Philosophical Society,1774
Walter Jones,American Philosophical Society,1774
James McClurg,American Philosophical Society,1774
Samuel More,American Philosophical Society,1774
Benjamin Morgan,American Philosophical Society,1774
Thomas Parke,American Philosophical Society,1774
John Perkins,American Philosophical Society,1774
Bernard Romans,American Philosophical Society,1774
Lord Mahon Charles Stanhope,American Philosophical Society,1774
Lord Mahon Philips Stanhope,American Philosophical Society,1774
William Wright,American Philosophical Society,1774
Charles Adams,American Philosophical Society,1775
Jacques Barbeu-Dubourg,American Philosophical Society,1775
Marquis de M.J.A.N. Caritat Condorcet,American Philosophical Society,1775
Louis J.M. Daubenton,American Philosophical Society,1775
Fortunatus Dwarris,American Philosophical Society,1775
Thomas Gibbons,American Philosophical Society,1775
Samuel Holland,American Philosophical Society,1775
Antoine L. Lavoisier,American Philosophical Society,1775
Pierre J. Macquer,American Philosophical Society,1775
Benjamin Moseley,American Philosophical Society,1775
Guillaume T. F. Raynall,American Philosophical Society,1775
Le Roux,American Philosophical Society,1775
Jean F. Rozier,American Philosophical Society,1775
George Duffield,American Philosophical Society,1779
James Hutchinson,American Philosophical Society,1779
Charles Pettit,American Philosophical Society,1779
Conrad A. Gerard de Rayneval,American Philosophical Society,1779
Jean-Joseph Sue,American Philosophical Society,1779
John Adams,American Philosophical Society,1780
Marquis de Francois Barbe-Marbois,American Philosophical Society,1780
William Brown,American Philosophical Society,1780
William Carmichael,American Philosophical Society,1780
Arthur St. Clair,American Philosophical Society,1780
Robert Erskine,American Philosophical Society,1780
William Grayson,American Philosophical Society,1780
Alexander Hamilton,American Philosophical Society,1780
William C. Houston,American Philosophical Society,1780
John Jay,American Philosophical Society,1780
Thomas Jefferson,American Philosophical Society,1780
J.C. Kunze,American Philosophical Society,1780
John Laurens,American Philosophical Society,1780
Anne C. de la Luaerne,American Philosophical Society,1780
Rev. James Madison,American Philosophical Society,1780
Timothy Matlack,American Philosophical Society,1780
Baron Friedrich W. von Steuben,American Philosophical Society,1780
Jean-Baptiste Ternant,American Philosophical Society,1780
Charles Vallancey,American Philosophical Society,1780
George Washington,American Philosophical Society,1780
Anthony Wayne,American Philosophical Society,1780
Thomas Bee,American Philosophical Society,1781
Marquis de Francois J. Chastellux,American Philosophical Society,1781
Isaac Gray,American Philosophical Society,1781
Ebenezer Hazard,American Philosophical Society,1781
Jared Ingersoll,American Philosophical Society,1781
Marquis de Motier Theodore Lafayette,American Philosophical Society,1781
Hugh Shiell,American Philosophical Society,1781
Chevalier d' Charles F.A. Le Paulmier Annemours,American Philosophical Society,1783
John Beale Bordley,American Philosophical Society,1783
Jean F. Coste,American Philosophical Society,1783
Robert Davidson,American Philosophical Society,1783
Felice Fontana,American Philosophical Society,1783
Antoine Court de Gebilin,American Philosophical Society,1783
Samuel Huntingdon,American Philosophical Society,1783
Robert M. Patterson,American Philosophical Society,1783
Comte Charles C. Labillarderie Angivillier,American Philosophical Society,1784
Jeremy Belknap,American Philosophical Society,1784
Peter J. Van Berckel,American Philosophical Society,1784
Barnabas Binney,American Philosophical Society,1784
Robert Blackwell,American Philosophical Society,1784
Fred F.S. de Brahm,American Philosophical Society,1784
Pedro Rodriguez Campomanes,American Philosophical Society,1784
John Dunlap,American Philosophical Society,1784
John Foulke,American Philosophical Society,1784
George Fox,American Philosophical Society,1784
Arch Gamble,American Philosophical Society,1784
George Gray,American Philosophical Society,1784
J.H.C. Helmuth,American Philosophical Society,1784
Thomas Heyward,American Philosophical Society,1784
Rev. Samuel Magaw,American Philosophical Society,1784
John H. de Magellan,American Philosophical Society,1784
Jonathan D. Sergeant,American Philosophical Society,1784
James Six,American Philosophical Society,1784
John Vaughan,American Philosophical Society,1784
Samuel Vaughan,American Philosophical Society,1784
Comte de Charles G. Vergennes,American Philosophical Society,1784
Frederick E.F. Bertholff,American Philosophical Society,1785
Comte de Luc Urbain du Bouexic,American Philosophical Society,1785
William Bradford,American Philosophical Society,1785
Edward Burd,American Philosophical Society,1785
John Carson,American Philosophical Society,1785
Adair Crawford,American Philosophical Society,1785
Manasseh Cutler,American Philosophical Society,1785
Andrew Ellicott,American Philosophical Society,1785
Samuel Powel Griffiths,American Philosophical Society,1785
Samuel G. Hermelin,American Philosophical Society,1785
Sir William Herschel,American Philosophical Society,1785
Hugh James,American Philosophical Society,1785
Thaddeus Kosciusko,American Philosophical Society,1785
James Madison,American Philosophical Society,1785
Joseph Mandrillion,American Philosophical Society,1785
James McHenry,American Philosophical Society,1785
Christian F. Michailis,American Philosophical Society,1785
Henry E. Muhlenberg,American Philosophical Society,1785
Mann Page,American Philosophical Society,1785
Thomas Paine,American Philosophical Society,1785
William Parker,American Philosophical Society,1785
Robert Perceval,American Philosophical Society,1785
Richard Price,American Philosophical Society,1785
Joseph Priestley,American Philosophical Society,1785
Samuel S. Smith,American Philosophical Society,1785
Jean-Baptiste Sue,American Philosophical Society,1785
George Wall,American Philosophical Society,1785
Benjamin Workman,American Philosophical Society,1785
James Beattie,American Philosophical Society,1786
Pierre J.G. Cabanis,American Philosophical Society,1786
Conte Luigi Castiglioni,American Philosophical Society,1786
Jacques A.C. Charles,American Philosophical Society,1786
George Clymer,American Philosophical Society,1786
Lorenz Crell,American Philosophical Society,1786
Benjamin Duffield,American Philosophical Society,1786
Aime A.J. Feutry,American Philosophical Society,1786
William Temple Franklin,American Philosophical Society,1786
Thibert Garbier,American Philosophical Society,1786
Rene G. Gastelier,American Philosophical Society,1786
Granchain,American Philosophical Society,1786
Guillaume Grivel,American Philosophical Society,1786
Thomas Henry,American Philosophical Society,1786
Jonathan Hoge,American Philosophical Society,1786
Jan Ingenhousz,American Philosophical Society,1786
John Andrews,American Philosophical Society,1786
Richard Kirwan,American Philosophical Society,1786
John Morris,American Philosophical Society,1786
Robert Morris,American Philosophical Society,1786
Nicolas Noel,American Philosophical Society,1786
Charles Willson Peale,American Philosophical Society,1786
Thomas Percival,American Philosophical Society,1786
Robert E. Pine,American Philosophical Society,1786
William Rawle,American Philosophical Society,1786
Duc de Louis A. La Rochefoucauld d'Enville,American Philosophical Society,1786
Julien D. Le Roy,American Philosophical Society,1786
Jean L.G. Soulavie,American Philosophical Society,1786
Benjamin Vaughan,American Philosophical Society,1786
Samuel Vaughan,American Philosophical Society,1786
Louis G. Le Veillard,American Philosophical Society,1786
Charles H. Wharton,American Philosophical Society,1786
John Whitehurst,American Philosophical Society,1786
William Baker,American Philosophical Society,1787
Sir Joseph Banks,American Philosophical Society,1787
Robert Barclay,American Philosophical Society,1787
Thomas Barnes,American Philosophical Society,1787
William Barton,American Philosophical Society,1787
John Bayard,American Philosophical Society,1787
William Bingham,American Philosophical Society,1787
James Bowdoin,American Philosophical Society,1787
Louis C. Cadet-Gassicourt,American Philosophical Society,1787
Benjamin Chew,American Philosophical Society,1787
Isaac Craig,American Philosophical Society,1787
Enoch Edwards,American Philosophical Society,1787
John Hunter,American Philosophical Society,1787
Joseph James,American Philosophical Society,1787
Francis Johnston,American Philosophical Society,1787
John Johnston,American Philosophical Society,1787
Charles Lennox,American Philosophical Society,1787
John Coakley Lettsom,American Philosophical Society,1787
Hon. John Lowell,American Philosophical Society,1787
Robert Milligan,American Philosophical Society,1787
Sir Edward Newenham,American Philosophical Society,1787
Comte Louis G. Otto,American Philosophical Society,1787
John R.B. Rodgers,American Philosophical Society,1787
Thomas Ruston,American Philosophical Society,1787
William W. Smith,American Philosophical Society,1787
George Spence,American Philosophical Society,1787
William Thornton,American Philosophical Society,1787
George Vaux,American Philosophical Society,1787
Antoine A.F. Cadet de Vaux,American Philosophical Society,1787
Thomas White,American Philosophical Society,1787
Jonathan Williams,American Philosophical Society,1787
Caspar Wistar,American Philosophical Society,1787
Simeon De Witt,American Philosophical Society,1787
Burgiss Allison,American Philosophical Society,1789
Charles Arthaud,American Philosophical Society,1789
Benjamin Smith Barton,American Philosophical Society,1789
Samuel Beach,American Philosophical Society,1789
Sir Charles Blagden,American Philosophical Society,1789
John Bleakley,American Philosophical Society,1789
David Brearly,American Philosophical Society,1789
Jean P. Brissot,American Philosophical Society,1789
George Buchanan,American Philosophical Society,1789
Pieter Camper,American Philosophical Society,1789
Nicholas Collin,American Philosophical Society,1789
John Cox,American Philosophical Society,1789
Michel G. St. J. de Crevecoeur,American Philosophical Society,1789
Princess Catherine Ekaterina Dashkova,American Philosophical Society,1789
William Findley,American Philosophical Society,1789
Jos. M. de Flores,American Philosophical Society,1789
Diego de Gardoqui,American Philosophical Society,1789
Francis de Gardoqui,American Philosophical Society,1789
Peter Le Gaux,American Philosophical Society,1789
Ashbel Green,American Philosophical Society,1789
Friedrich A. von Heintz,American Philosophical Society,1789
Joshua Humphreys,American Philosophical Society,1789
Walter Minto,American Philosophical Society,1789
George Monroe,American Philosophical Society,1789
Mekeric L.E. Moreau,American Philosophical Society,1789
William Paterson,American Philosophical Society,1789
C.C. Pinckney,American Philosophical Society,1789
Thomas Pole,American Philosophical Society,1789
David Redick,American Philosophical Society,1789
Benjamin Rittenhouse,American Philosophical Society,1789
James Rumsey,American Philosophical Society,1789
Winthrop Sargent,American Philosophical Society,1789
Franz A. Steinsky,American Philosophical Society,1789
John Stevens,American Philosophical Society,1789
Charles Stuart,American Philosophical Society,1789
James Wilkinson,American Philosophical Society,1789
John Witherspoon,American Philosophical Society,1789
Baron J.W.K.A. Hupsch von Lontxen,American Philosophical Society,1790
Anders Sparman,American Philosophical Society,1790
George Turner,American Philosophical Society,1790
John Walker,American Philosophical Society,1790
Caleb Whitefoord,American Philosophical Society,1790
Alexander Addison,American Philosophical Society,1791
Alexander Anderson,American Philosophical Society,1791
Absalom Baird,American Philosophical Society,1791
John Beckley,American Philosophical Society,1791
Nicholas L. Burmann,American Philosophical Society,1791
Alexander J. Dallas,American Philosophical Society,1791
William Ferguson,American Philosophical Society,1791
Albert Gallatin,American Philosophical Society,1791
Benjamin Gloxin,American Philosophical Society,1791
Robert Goldsbourough,American Philosophical Society,1791
John G. Grosche,American Philosophical Society,1791
John Hoge,American Philosophical Society,1791
James Anderson,American Philosophical Society,1791
Henry Knox,American Philosophical Society,1791
John Luzac,American Philosophical Society,1791
S.L. Mitchell,American Philosophical Society,1791
Johann A. Murray,American Philosophical Society,1791
John Nicholson,American Philosophical Society,1791
Peter S. Pallas,American Philosophical Society,1791
John Penington,American Philosophical Society,1791
Thomas Pennant,American Philosophical Society,1791
Peter S. Du Ponceau,American Philosophical Society,1791
Edmund Randolph,American Philosophical Society,1791
Andrew Ross,American Philosophical Society,1791
James Ross,American Philosophical Society,1791
John Smilie,American Philosophical Society,1791
Dugald Stewart,American Philosophical Society,1791
Karl P. Thunberg,American Philosophical Society,1791
Benjamin Waterhouse,American Philosophical Society,1791
Richard P. Barton,American Philosophical Society,1792
Guiseppe Ceracchi,American Philosophical Society,1792
William Currie,American Philosophical Society,1792
Erasmus Darwin,American Philosophical Society,1792
Comte de Antoine R.C.M. La Forest,American Philosophical Society,1792
Anthony Fothergill,American Philosophical Society,1792
David Jackson,American Philosophical Society,1792
John Page,American Philosophical Society,1792
Baron de Ambroise M.F.J. Palisot,American Philosophical Society,1792
Conte Paolo Andreani,American Philosophical Society,1792
John Rouelle,American Philosophical Society,1792
William Smith,American Philosophical Society,1792
Uvo van Troil,American Philosophical Society,1792
John Trumbull,American Philosophical Society,1792
Rodolph Valltravers,American Philosophical Society,1792
Nicholas B. Waters,American Philosophical Society,1792
Andre F. de Coupigny,American Philosophical Society,1793
J. Reinhold Forster,American Philosophical Society,1793
George Logan,American Philosophical Society,1793
John W. Lottera,American Philosophical Society,1793
David Nassy,American Philosophical Society,1793
Thomas L. Shippen,American Philosophical Society,1793
Louis Valentin,American Philosophical Society,1793
William Waring,American Philosophical Society,1793
David S. Erskine,American Philosophical Society,1794
James Greenway,American Philosophical Society,1794
James Anderson,American Philosophical Society,1794
John Nancarrow,American Philosophical Society,1794
Gustaf von Carleson,American Philosophical Society,1795
Archibald Cochrane,American Philosophical Society,1795
Robert Leslie,American Philosophical Society,1795
Val Melscheimer,American Philosophical Society,1795
Tim Pickering,American Philosophical Society,1795
Samuel Wheeler,American Philosophical Society,1795
Rev. James Abercrombie,American Philosophical Society,1796
Pierre A. Adet,American Philosophical Society,1796
Nathaniel B. Bedford,American Philosophical Society,1796
Isaac Briggs,American Philosophical Society,1796
Charles Caldwell,American Philosophical Society,1796
Dr. Isaac Cathrall,American Philosophical Society,1796
F.H. Le Comte,American Philosophical Society,1796
Tench Coxe,American Philosophical Society,1796
Joanne B. Cunat,American Philosophical Society,1796
Jean Deveze,American Philosophical Society,1796
Louis E. Duhail,American Philosophical Society,1796
Cypriano R. Friere,American Philosophical Society,1796
Jacques M. le F. de Grandpre,American Philosophical Society,1796
Hugh Hodge,American Philosophical Society,1796
Jose de Jaudences,American Philosophical Society,1796
J.F. Mifflin,American Philosophical Society,1796
William D. Peck,American Philosophical Society,1796
Francois A.F. de la Rochefoucauld-Liancourt,American Philosophical Society,1796
Sir James E. Smith,American Philosophical Society,1796
Charles M. de Talleyrand-Perigord,American Philosophical Society,1796
Luis de Urbina,American Philosophical Society,1796
James Woodhouse,American Philosophical Society,1796
William Bache,American Philosophical Society,1797
Samuel Blair,American Philosophical Society,1797
John Guillemard,American Philosophical Society,1797
William Hamilton,American Philosophical Society,1797
John Heckewilder,American Philosophical Society,1797
Andrews Everardus Van Braam Houckgeest,American Philosophical Society,1797
Thomas C. James,American Philosophical Society,1797
Alexander Martin,American Philosophical Society,1797
Theo. C. Mozard,American Philosophical Society,1797
John Newnan,American Philosophical Society,1797
Thomas Pinckney,American Philosophical Society,1797
Adam Seybert,American Philosophical Society,1797
Rich P. Smith,American Philosophical Society,1797
Samuel H. Smith,American Philosophical Society,1797
John Stuart,American Philosophical Society,1797
Comte Constantin F. Chasseboeuf de Volney,American Philosophical Society,1797
Johann F. Blumenbach,American Philosophical Society,1798
Julian U. Niemcewicz,American Philosophical Society,1798
