George B. Wood,Academy of Natural Sciences,1824,Member,Resident
George Zantzinger,Academy of Natural Sciences,1835,Member,Resident
E. Abadie,Academy of Natural Sciences,1836,Member,Corresponding
Don Pedro Abadie,Academy of Natural Sciences,1821,Member,Corresponding
Robert Adrain,Academy of Natural Sciences,1815,Member,Corresponding
Charles Adolphus Agardh,Academy of Natural Sciences,1834,Member,Corresponding
Louis Agassiz,Academy of Natural Sciences,1836,Member,Corresponding
John Gould Anthony,Academy of Natural Sciences,1833,Member,Corresponding
John James Audubon,Academy of Natural Sciences,1831,Member,Corresponding
M. Victor Audouin,Academy of Natural Sciences,1821,Member,Corresponding
Don Pedro Alessandro,Academy of Natural Sciences,1835,Member,Corresponding
William Bartram,Academy of Natural Sciences,1812,Member,Corresponding
William Baldwin,Academy of Natural Sciences,1817,Member,Corresponding
Joseph Barabino,Academy of Natural Sciences,1831,Member,Corresponding
John Bachman,Academy of Natural Sciences,1832,Member,Corresponding
Thomas Bedwell,Academy of Natural Sciences,1812,Member,Corresponding
A. Bellin,Academy of Natural Sciences,1812,Member,Corresponding
Samuel Betton,Academy of Natural Sciences,1815,Member,Corresponding
T. Romeyn Beck,Academy of Natural Sciences,1816,Member,Corresponding
M. F. S. Beudant,Academy of Natural Sciences,1821,Member,Corresponding
Robert Best,Academy of Natural Sciences,1823,Member,Corresponding
M. Bellingeri,Academy of Natural Sciences,1826,Member,Corresponding
J. Jacob Berzelius,Academy of Natural Sciences,1826,Member,Corresponding
M. Elie de Beaumont,Academy of Natural Sciences,1833,Member,Corresponding
Lewis C. Beck,Academy of Natural Sciences,1833,Member,Corresponding
Thomas Bell,Academy of Natural Sciences,1834,Member,Corresponding
M. Jules Bellot,Academy of Natural Sciences,1836,Member,Corresponding
Amos Binney,Academy of Natural Sciences,1836,Member,Corresponding
Robert Bickley,Academy of Natural Sciences,1816,Member,Corresponding
John J. Bigsby,Academy of Natural Sciences,1820,Member,Corresponding
Shubel Blanding,Academy of Natural Sciences,1836,Member,Corresponding
